18 evaluation jobs, 4 workers
evaluated 202/medium/FullDC_t1@1/library: solve@10000=0.207 recall=0.0 train_solved=11 6s
evaluated 101/high/FullDC_t1@1/library: solve@10000=0.419 recall=0.5 train_solved=10 8s
evaluated 303/medium/FullDC_t1@1/library: solve@10000=0.310 recall=0.0 train_solved=10 10s
evaluated 101/medium/FullDC_t1@1/library: solve@10000=0.167 recall=0.0 train_solved=10 11s
evaluated 101/medium/FullDC_t1@1/recognition: solve@10000=0.300 recall=0.0 train_solved=10 244s
evaluated 202/medium/FullDC_t1@1/recognition: solve@10000=0.310 recall=0.0 train_solved=11 257s
evaluated 101/medium/FullDC_t1@2/library: solve@10000=0.233 recall=0.0 train_solved=16 8s
evaluated 202/medium/FullDC_t1@2/library: solve@10000=0.207 recall=0.0 train_solved=15 7s
evaluated 101/high/FullDC_t1@1/recognition: solve@10000=0.452 recall=0.5 train_solved=10 270s
evaluated 101/high/FullDC_t1@2/library: solve@10000=0.355 recall=1.0 train_solved=25 7s
evaluated 303/medium/FullDC_t1@1/recognition: solve@10000=0.483 recall=0.0 train_solved=10 285s
evaluated 303/medium/FullDC_t1@2/library: solve@10000=0.414 recall=0.16666666666666666 train_solved=18 7s
evaluated 101/medium/FullDC_t1@2/recognition: solve@10000=0.200 recall=0.0 train_solved=16 208s
evaluated 202/medium/FullDC_t1@2/recognition: solve@10000=0.310 recall=0.0 train_solved=15 203s
evaluated 101/medium/FullDC_t1@3/library: solve@10000=0.200 recall=0.0 train_solved=18 10s
evaluated 202/medium/FullDC_t1@3/library: solve@10000=0.241 recall=0.16666666666666666 train_solved=17 8s
evaluated 101/high/FullDC_t1@2/recognition: solve@10000=0.419 recall=1.0 train_solved=25 196s
evaluated 101/high/FullDC_t1@3/library: solve@10000=0.387 recall=1.0 train_solved=31 9s
evaluated 303/medium/FullDC_t1@2/recognition: solve@10000=0.517 recall=0.16666666666666666 train_solved=18 255s
