18 training runs, 18 pending, 4 workers
202/medium/FullDC_t1 round 1: 11/56 solved, 1 inventions, wake 6.6s (guided=False), compression 2.2s, dream 64/64, recognition 2.0s, dMDL 2.83
101/medium/FullDC_t1 round 1: 10/56 solved, 2 inventions, wake 9.1s (guided=False), compression 1.1s, dream 64/64, recognition 1.9s, dMDL 5.66
303/medium/FullDC_t1 round 1: 10/56 solved, 2 inventions, wake 9.5s (guided=False), compression 1.9s, dream 64/64, recognition 1.9s, dMDL 4.19
101/high/FullDC_t1 round 1: 10/56 solved, 3 inventions, wake 8.9s (guided=False), compression 11.6s, dream 64/64, recognition 2.1s, dMDL 19.50
101/medium/FullDC_t1 round 2: 16/56 solved, 5 inventions, wake 105.4s (guided=True), compression 7.0s, dream 64/64, recognition 2.0s, dMDL 6.90
303/medium/FullDC_t1 round 2: 18/56 solved, 5 inventions, wake 112.0s (guided=True), compression 14.0s, dream 64/64, recognition 2.0s, dMDL 10.26
202/medium/FullDC_t1 round 2: 15/56 solved, 4 inventions, wake 122.9s (guided=True), compression 22.7s, dream 64/64, recognition 2.3s, dMDL 9.56
101/high/FullDC_t1 round 2: 25/56 solved, 6 inventions, wake 110.0s (guided=True), compression 67.0s, dream 64/64, recognition 2.1s, dMDL 15.65
101/medium/FullDC_t1 round 3: 18/56 solved, 8 inventions, wake 98.2s (guided=True), compression 14.6s, dream 64/64, recognition 2.2s, dMDL 10.36
303/medium/FullDC_t1 round 3: 23/56 solved, 8 inventions, wake 114.6s (guided=True), compression 21.1s, dream 64/64, recognition 2.2s, dMDL 5.85
202/medium/FullDC_t1 round 3: 17/56 solved, 7 inventions, wake 101.4s (guided=True), compression 23.8s, dream 64/64, recognition 2.0s, dMDL 7.98
101/medium/FullDC_t1 round 4: 19/56 solved, 10 inventions, wake 96.5s (guided=True), compression 11.8s, dream 64/64, recognition 2.7s, dMDL 5.19
202/medium/FullDC_t1 round 4: 17/56 solved, 7 inventions, wake 74.1s (guided=True), compression 1.6s, dream 64/64, recognition 2.4s, dMDL 0.00
101/high/FullDC_t1 round 3: 31/56 solved, 9 inventions, wake 77.9s (guided=True), compression 93.4s, dream 64/64, recognition 2.7s, dMDL 10.46
303/medium/FullDC_t1 round 4: 24/56 solved, 10 inventions, wake 118.9s (guided=True), compression 34.3s, dream 64/64, recognition 4.1s, dMDL 6.57
101/medium/FullDC_t1 round 5: 20/56 solved, 11 inventions, wake 130.7s (guided=True), compression 5.5s, dream 64/64, recognition 2.4s, dMDL 1.60
202/medium/FullDC_t1 round 5: 19/56 solved, 8 inventions, wake 124.7s (guided=True), compression 5.3s, dream 64/64, recognition 2.3s, dMDL 3.84
101/high/FullDC_t1 round 4: 31/56 solved, 9 inventions, wake 100.2s (guided=True), compression 21.2s, dream 64/64, recognition 2.4s, dMDL 0.00
101/high/FullDC_t1 round 5: 31/56 solved, 9 inventions, wake 80.5s (guided=True), compression 21.6s, dream 64/64, recognition 2.5s, dMDL 0.00
101/medium/FullDC_t1 round 6: 21/56 solved, 12 inventions, wake 112.4s (guided=True), compression 7.0s, dream 64/64, recognition 2.5s, dMDL 4.07
trained (101, 'medium', 1)
303/medium/FullDC_t1 round 5: 25/56 solved, 10 inventions, wake 166.7s (guided=True), compression 10.6s, dream 64/64, recognition 2.4s, dMDL 0.00
202/medium/FullDC_t1 round 6: 20/56 solved, 8 inventions, wake 122.2s (guided=True), compression 3.1s, dream 64/64, recognition 2.2s, dMDL 0.00
trained (202, 'medium', 1)
303/high/FullDC_t1 round 1: 9/56 solved, 3 inventions, wake 6.4s (guided=False), compression 8.0s, dream 64/64, recognition 2.1s, dMDL 12.42
202/high/FullDC_t1 round 1: 14/56 solved, 3 inventions, wake 4.1s (guided=False), compression 26.9s, dream 64/64, recognition 2.1s, dMDL 27.16
